,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
111,Grambling,34,17,17,.500,-9.73,-9.34,10,8,11,3,6,12,2426,2336,,71.5,99.1,.423,.300,.547,50.8,50.4,7.9,11.5,.512,19.5,26.3,.290
112,Grand Canyon,34,20,14,.588,3.85,-1.49,10,6,12,2,5,8,2560,2353,,69.6,107.3,.332,.387,.551,51.8,52.7,8.7,6.0,.516,15.0,29.1,.243
113,Green Bay,38,21,17,.553,-2.24,-0.36,10,8,15,3,5,13,3090,3036,,76.4,105.4,.339,.364,.551,48.2,52.3,9.9,10.5,.521,15.1,25.9,.238
114,Hampton,35,18,17,.514,-3.34,-5.06,9,7,12,3,6,12,2847,2669,,73.3,108.7,.353,.377,.545,50.7,50.4,8.2,9.2,.497,12.7,27.1,.278
115,Hartford,33,18,15,.545,-3.95,-4.89,10,6,10,4,8,9,2477,2407,,68.0,108.4,.332,.454,.574,47.5,54.5,10.0,6.0,.542,15.7,25.4,.247
116,Harvard,31,19,12,.613,1.86,0.66,10,4,9,2,8,9,2222,2174,,68.5,102.6,.314,.422,.565,53.3,46.9,8.0,11.3,.536,20.0,28.5,.227
117,Hawaii,31,18,13,.581,-1.30,-3.61,9,7,12,5,4,5,2241,2131,,67.6,106.1,.330,.430,.555,51.1,60.7,7.4,5.8,.527,15.4,26.8,.229
118,High Point,31,16,15,.516,-5.63,-4.39,9,7,9,4,5,8,2115,2105,,65.5,103.0,.352,.339,.527,55.0,52.9,8.3,9.8,.496,16.8,34.2,.238
119,Hofstra,35,27,8,.771,4.68,-4.53,15,3,15,1,10,6,2919,2553,,68.3,118.8,.373,.389,.603,50.3,49.3,9.3,9.2,.561,12.4,27.7,.299
120,Holy Cross,33,16,17,.485,-6.43,-4.01,6,12,8,6,6,11,2216,2296,,65.0,102.1,.231,.365,.544,43.5,60.5,11.1,12.4,.527,14.7,20.5,.154
