144,Kent State,33,22,11,.667,1.26,0.61,11,7,14,3,8,7,2481,2417,,1330,878,2032,.432,261,775,.337,464,641,.724,412,1185,430,226,119,378,601
145,Kentucky NCAA,37,30,7,.811,21.43,10.29,15,3,17,1,8,2,2806,2394,,1490,978,2050,.477,215,607,.354,635,859,.739,427,1428,501,220,176,466,600
146,La Salle,31,10,21,.323,-3.61,1.29,8,10,5,9,3,8,2091,2243,,1240,719,1798,.400,259,783,.331,394,512,.770,328,1060,391,230,98,435,630
147,Lafayette,30,10,20,.333,-11.17,-4.93,7,11,4,11,6,9,2209,2349,,1220,802,1786,.449,280,736,.380,325,437,.744,233,1004,419,158,126,402,515
148,Lamar,33,20,13,.606,-5.94,-7.22,12,6,13,2,6,10,2597,2322,,1340,902,1976,.456,228,664,.343,565,823,.687,446,1282,481,283,97,473,622
149,Lehigh,31,20,11,.645,-2.34,-4.46,12,6,11,3,9,8,2479,2413,,1250,856,1775,.482,287,679,.423,480,620,.774,232,1105,471,171,71,418,571
150,Liberty NCAA,36,29,7,.806,5.27,-3.88,14,2,16,1,11,3,2654,2209,,1440,963,1977,.487,322,873,.369,406,524,.775,270,1174,532,223,96,395,543
151,Lipscomb,37,29,8,.784,9.21,-1.20,14,2,14,3,14,4,3076,2597,,1480,1071,2230,.480,327,876,.373,607,801,.758,329,1378,654,268,108,489,633
152,Cal State Long Beach,34,15,19,.441,-4.57,-0.44,8,8,9,5,4,12,2545,2584,,1375,877,2031,.432,217,630,.344,574,831,.691,377,1263,399,219,105,479,620
153,Long Island University,32,16,16,.500,-8.99,-9.08,9,9,8,5,7,9,2373,2337,,1285,822,1880,.437,277,813,.341,452,643,.703,321,1196,430,218,157,471,610
154,Longwood,34,16,18,.471,-8.43,-6.62,5,11,10,5,5,12,2407,2408,,1375,803,1875,.428,333,939,.355,468,639,.732,284,1194,401,210,71,477,624
155,Louisiana,32,19,13,.594,-2.07,-1.51,10,8,10,4,7,7,2612,2575,,1290,901,2026,.445,283,821,.345,527,710,.742,364,1142,487,226,125,423,612
156,Louisiana-Monroe,35,19,16,.543,0.81,-1.96,9,9,14,3,4,12,2773,2637,,1425,922,2029,.454,353,891,.396,576,737,.782,317,1176,498,206,78,398,545
157,Louisiana State NCAA,35,28,7,.800,16.50,9.16,16,2,15,2,9,1,2815,2558,,1435,988,2162,.457,236,740,.319,603,802,.752,460,1355,452,308,148,452,634
158,Louisiana Tech,33,20,13,.606,0.95,-2.31,9,9,15,1,4,10,2386,2235,,1335,840,1928,.436,253,756,.335,453,690,.657,368,1204,440,190,115,386,535
159,Louisville NCAA,34,20,14,.588,17.28,11.04,10,8,14,4,5,6,2536,2324,,1380,854,1967,.434,294,860,.342,534,687,.777,345,1297,458,149,99,412,591
160,Loyola (IL),34,20,14,.588,3.99,-0.16,12,6,13,4,5,7,2231,2066,,1360,831,1687,.493,206,563,.366,363,545,.666,190,1013,468,220,78,407,471
161,Loyola Marymount,34,22,12,.647,2.93,0.90,8,8,12,4,8,7,2278,2125,,1360,817,1800,.454,163,510,.320,481,645,.746,314,1098,460,250,102,425,602
162,Loyola (MD),32,11,21,.344,-9.13,-4.60,7,11,7,5,3,16,2332,2477,,1295,842,1836,.459,210,616,.341,438,617,.710,292,997,448,278,73,444,573
